Mot1,Mot2,Poids
Elliot,Marie,0.0237467018469657
Elliot,Maxi,0.0617414248021108
Elliot,Mikael,0.0997361477572559
Elliot,Nico,0.185224274406332
Elliot,Noémie,0.0997361477572559
Elliot,Pablo,0.520844327176781
Elliot,Régine,0.284960422163588
Elliot,Robert,0.0379947229551451
Elliot,Yacine,0.0712401055408971
Elliot,Yohan,0.147229551451187
Eloise,Hani,0.0422163588390501
Eloise,Jason,0.0964945344892574
Eloise,Mark,0.0844327176781002
Eloise,Maryne,0.0422163588390501
Eloise,Maxence,0.0964945344892574
Eloise,P-A,0.138710893328308
Eloise,Stoud,0.138710893328308
Eloise,Tess,0.138710893328308
Fiona,Gael,0.0759894459102902
Fiona,Jerome,0.0759894459102902
Fiona,Manon,0.170976253298153
Fiona,Régine,0.0949868073878628
Fred,Gael,0.118733509234828
Fred,Ingalena,0.0237467018469657
Fred,Jeff,0.142480211081794
Fred,Jerome,0.0712401055408971
Fred,Marie,0.0237467018469657
Fred,Maxi,0.0237467018469657
Fred,Mikael,0.0237467018469657
Fred,Nico,0.118733509234828
Fred,Noémie,0.0237467018469657
Fred,Pablo,0.16622691292876
Fred,Yacine,0.0712401055408971
Fred,Yohan,0.0712401055408971
Fred B.,Hugo,0.0949868073878628
Fred B.,Ingalena,0.0949868073878628
Fred B.,Maxi,0.0949868073878628
Fred B.,Nico G.,0.0949868073878628
Fred B.,Seb R.,0.0949868073878628
Fred B.,Yannick,0.0949868073878628
Gael,Greg,0.0379947229551451
Gael,Hugo,0.12664907651715
Gael,Ingalena,0.0617414248021108
Gael,Jeanne,0.0345406572319501
Gael,Jeff,0.0854881266490765
Gael,Jeremie,0.0345406572319501
Gael,Jerome,0.46490765171504
Gael,Justine,0.0345406572319501
Gael,Manon,0.148524826097385
Gael,Marie,0.0659630606860158
Gael,Matthieu,0.0345406572319501
Gael,Maxence,0.265963060686016
Gael,Maxi,0.0617414248021108
Gael,Merita,0.0345406572319501
Gael,Mikael,0.147229551451187
Gael,Nico,1
Gael,Nico G.,0.12664907651715
Gael,Noémie,0.147229551451187
Gael,Pablo,0.385464140081554
Gael,Robert,0.156200527704485
Gael,Sélim,0.0345406572319501
Gael,Yacine,0.134564643799472
Gael,Yohan,0.777308707124011
Greg,Jeff,0.0379947229551451
Greg,Manon,0.0379947229551451
Greg,Nico,0.0379947229551451
Greg,Pablo,0.12664907651715
Greg,Robert,0.0379947229551451
Hani,Mark,0.0422163588390501
Hani,Maxence,0.0422163588390501
Hani,P-A,0.0422163588390501
Hani,Stoud,0.0422163588390501
Hani,Tess,0.0422163588390501
Hugo,Nico G.,0.12664907651715
Hugo,Seb R.,0.0949868073878628
Hugo,Yannick,0.0949868073878628
Hugues,Nico,0.0949868073878628
Ingalena,Jerome,0.0617414248021108
Ingalena,Marie,0.0237467018469657
Ingalena,Maxi,0.156728232189974
Ingalena,Mikael,0.0617414248021108
Ingalena,Nico,0.0617414248021108
Ingalena,Nico G.,0.0949868073878628
Ingalena,Noémie,0.0617414248021108
Ingalena,Pablo,0.0237467018469657
Ingalena,Yacine,0.0237467018469657
Ingalena,Yohan,0.0617414248021108
Jason,Mark,0.0422163588390501
Jason,Maryne,0.0422163588390501
Jason,Maxence,0.307576328684508
Jason,P-A,0.0964945344892574
Jason,Stoud,0.223143611006408
Jason,Tess,0.0964945344892574
Jeanne,Jeremie,0.0345406572319501
Jeanne,Juliette,0.0759894459102902
Jeanne,Justine,0.0345406572319501
Jeanne,Manon,0.11053010314224
Jeanne,Matthieu,0.0345406572319501
Jeanne,Merita,0.0345406572319501
Jeanne,Pablo,0.0345406572319501
Jeanne,Sélim,0.0345406572319501
Jeff,Jerome,0.0474934036939314
Jeff,Lorraine,0.189973614775726
Jeff,Manon,0.0379947229551451
Jeff,Melissa,0.189973614775726
Jeff,Nico,0.0854881266490765
Jeff,Pablo,0.0949868073878628
Jeff,Robert,0.0379947229551451
Jeremie,Justine,0.0345406572319501
Jeremie,Manon,0.227392660110338
Jeremie,Manon S.,0.0345406572319501
Jeremie,Matthieu,0.0345406572319501
Jeremie,Merita,0.14507076037419
Jeremie,Norma,0.0345406572319501
Jeremie,Pablo,0.0345406572319501
Jeremie,Romane,0.0345406572319501
Jeremie,Sélim,0.0345406572319501
Jeremie,Tess,0.173854641400816
Jerome,Manon,0.0759894459102902
Jerome,Marie,0.0659630606860158
Jerome,Maxence,0.0759894459102902
Jerome,Maxi,0.0617414248021108
Jerome,Mikael,0.147229551451187
Jerome,Nico,0.236939313984169
Jerome,Noémie,0.147229551451187
Jerome,Pablo,0.303430079155673
Jerome,Robert,0.11820580474934
Jerome,Yacine,0.213720316622691
Jerome,Yohan,0.147229551451187
Juliette,Manon,0.0759894459102902
Justine,Ludo,0.0379947229551451
Justine,Magali,0.0379947229551451
Justine,Manon,0.0725353801870952
Justine,Matthieu,0.0725353801870952
Justine,Merita,0.0345406572319501
Justine,Pablo,0.0345406572319501
Justine,Sarah,0.0379947229551451
Justine,Sélim,0.0725353801870952
Lorraine,Melissa,0.189973614775726
Ludo,Magali,0.0379947229551451
Ludo,Manon,0.0379947229551451
Ludo,Matthieu,0.0379947229551451
Ludo,Sarah,0.0379947229551451
Ludo,Sélim,0.0379947229551451
Magali,Manon,0.0379947229551451
Magali,Matthieu,0.0379947229551451
Magali,Sarah,0.0379947229551451
Magali,Sélim,0.0379947229551451
Manon,Manon S.,0.0345406572319501
Manon,Matthieu,0.0725353801870952
Manon,Merita,0.0690813144639002
Manon,Nico,0.0379947229551451
Manon,Norma,0.0345406572319501
Manon,Pablo,0.0345406572319501
Manon,Régine,0.0949868073878628
Manon,Robert,0.0379947229551451
Manon,Romane,0.0345406572319501
Manon,Sarah,0.0379947229551451
Manon,Sélim,0.0725353801870952
Manon,Tess,0.173854641400816
Manon S.,Merita,0.0345406572319501
Manon S.,Norma,0.0345406572319501
Manon S.,Romane,0.0345406572319501
Manon S.,Tess,0.0345406572319501
Marie,Maxi,0.0237467018469657
Marie,Mikael,0.0237467018469657
Marie,Nico,0.255936675461741
Marie,Noémie,0.0237467018469657
Marie,Pablo,0.0659630606860158
Marie,Robert,0.0422163588390501
Marie,Yacine,0.0237467018469657
Marie,Yohan,0.0237467018469657
Mark,Maryne,0.0422163588390501
Mark,Maxence,0.0422163588390501
Mark,P-A,0.0844327176781002
Mark,Stoud,0.0844327176781002
Mark,Tess,0.0844327176781002
Maryne,P-A,0.0422163588390501
Maryne,Stoud,0.0422163588390501
Maryne,Tess,0.0422163588390501
Matthieu,Merita,0.0345406572319501
Matthieu,Pablo,0.0345406572319501
